Angle_of_Repose,Aspartame,B_cyclodextrin,Bulk_Density,Carrs_Compressibility_Index,Citric_acid,Clove_oil_,Colloidal_silicon_dioxide_Aerosil_,Complexity,DOSE,Gum,Hausner_Ratio,Heavy_atom_count,Hydrogen_Bond_Acceptor_Count,Hydrogen_Bond_Donor_Count,Hydroxypropyl_Cellulose_HPC_,Indion,Lactose,LogS,Magnesium_Stearate,Mannitol,Menthol,Microcrystalline_Cellulose,Molecular_Weight,Neotame,Plantago_ovata,Polacrilin_Potassium,Polyethylene_Glycol,Polyvinylpyrrolidone_Crospovidone_,Rotational_bond_count,Sodium_Saccharine_,Sodium_croscarmellose,Sodium_lauryl_sulfate_SLS_,Sodium_saccharin,Sodium_starch_glycolate,Sodium_stearyl_fumarate_,Starch,Stevia_leaf_Powder_,Talc,Tapped_Density,Thickness,Topological_surface_area,Weight_mg_,Wetting_time,XLogP3_AA,polyvinyl_acetate,sodium_bicarbonate_NaHCO3_
0.0,0.0,0,0.0,0.0,0.0,0,0.0,443,5.0,0.0,0.0,29,5,3,0.0,0.0,0.0,-3.79,3.0,178.0,0,0.0,461.8,0.0,0.0,0.0,0.0,4.0,8,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0,3.0,0.0,0.0,53.0,200.0,0.0,2.86,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,443,5.0,0.0,0.0,29,5,3,0.0,0.0,0.0,-3.79,3.0,176.0,0,0.0,461.8,0.0,0.0,0.0,0.0,4.0,8,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0,3.0,0.0,0.0,53.0,200.0,0.0,2.86,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,443,5.0,0.0,0.0,29,5,3,0.0,0.0,0.0,-3.79,3.0,172.0,0,0.0,461.8,0.0,0.0,0.0,0.0,4.0,8,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0,3.0,0.0,0.0,53.0,200.0,0.0,2.86,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,443,5.0,0.0,0.0,29,5,3,0.0,0.0,0.0,-3.79,3.0,168.0,0,0.0,461.8,0.0,0.0,0.0,0.0,4.0,8,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0,3.0,0.0,0.0,53.0,200.0,0.0,2.86,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,443,5.0,0.0,0.0,29,5,3,0.0,0.0,0.0,-3.79,3.0,164.0,0,0.0,461.8,0.0,0.0,0.0,0.0,4.0,8,0.0,0.0,0.0,5.0,16.0,0.0,0.0,0,3.0,0.0,0.0,53.0,200.0,0.0,2.86,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,443,5.0,0.0,0.0,29,5,3,0.0,0.0,0.0,-3.79,3.0,160.0,0,0.0,461.8,0.0,0.0,0.0,0.0,4.0,8,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0,3.0,0.0,0.0,53.0,200.0,0.0,2.86,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,443,5.0,0.0,0.0,29,5,3,0.0,0.0,0.0,-3.79,0.0,176.0,0,0.0,461.8,0.0,0.0,0.0,0.0,2.0,8,0.0,0.0,0.0,5.0,8.0,2.0,0.0,0,2.0,0.0,0.0,53.0,200.0,0.0,2.86,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,443,5.0,0.0,0.0,29,5,3,0.0,0.0,0.0,-3.79,0.0,174.0,0,0.0,461.8,0.0,0.0,0.0,0.0,4.0,8,0.0,0.0,0.0,5.0,8.0,2.0,0.0,0,2.0,0.0,0.0,53.0,200.0,0.0,2.86,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,443,5.0,0.0,0.0,29,5,3,0.0,0.0,0.0,-3.79,0.0,172.0,0,0.0,461.8,0.0,0.0,0.0,0.0,6.0,8,0.0,0.0,0.0,5.0,8.0,2.0,0.0,0,2.0,0.0,0.0,53.0,200.0,0.0,2.86,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,443,5.0,0.0,0.0,29,5,3,0.0,0.0,0.0,-3.79,0.0,170.0,0,0.0,461.8,0.0,0.0,0.0,0.0,8.0,8,0.0,0.0,0.0,5.0,8.0,2.0,0.0,0,2.0,0.0,0.0,53.0,200.0,0.0,2.86,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,443,5.0,0.0,0.0,29,5,3,0.0,0.0,0.0,-3.79,0.0,168.0,0,0.0,461.8,0.0,0.0,0.0,0.0,10.0,8,0.0,0.0,0.0,5.0,8.0,2.0,0.0,0,2.0,0.0,0.0,53.0,200.0,0.0,2.86,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,443,5.0,0.0,0.0,29,5,3,0.0,0.0,0.0,-3.79,0.0,166.0,0,0.0,461.8,0.0,0.0,0.0,0.0,12.0,8,0.0,0.0,0.0,5.0,8.0,2.0,0.0,0,2.0,0.0,0.0,53.0,200.0,0.0,2.86,0.0,0.0
